1258935	3,903
1259363	2,248
1257281	2,245
1258933	2,051
1259204	1,869
1240457	1,792
1238162	1,745
1259374	1,598
1247547	1,597
1257270	1,565
1255119	1,514
1241330	1,441
1259356	1,429
1240085	1,424
1239235	1,423
1248085	1,392
1251942	1,388
1252893	1,371
1259646	1,350
1259210	1,339
1259693	1,334
1239058	1,320
1259362	1,309
1259206	1,284
1240096	1,265
1235959	1,259
1250523	1,254
1256603	1,229
1238598	1,216
1231010	1,204
1259691	1,201
1246801	1,200
1259645	1,183
1246846	1,149
1258906	1,130
1238978	1,123
1240587	1,117
1249177	1,116
1258346	1,110
1255152	1,101
1254040	1,098
1246371	1,091
1255980	1,090
1240106	1,085
1247637	1,082
1259692	1,062
1252712	1,059
1238592	1,054
1256724	1,048
1254038	1,045
1254054	1,038
1256597	1,032
1255025	1,019
1238639	1,014
1240395	1,013
1256854	1,013
1250427	1,007
1256818	988
1247735	987
1241770	985
1259354	977
1259612	974
1250770	967
1258910	966
1259360	964
1257349	959
1213148	948
1259359	947
1234211	946
1224623	941
1197658	931
1255743	929
1256596	928
1258534	927
1255867	914
1257347	911
1260532	907
1240082	905
1243974	894
1259632	891
1260192	878
1235081	863
1256581	858
1260328	854
1238178	852
1261266	845
1246372	841
1256820	840
1225472	836
1259358	833
1240646	830
1240270	826
1258471	826
1258356	826
1213500	825
1260117	816
1246382	815
1246835	809
1258387	806
1258931	794
1226434	794
1246881	793
1249256	793
1213044	789
1233452	770
1246872	764
1258688	763
1257097	761
1247856	760
1238170	755
1261267	751
1254296	750
1246847	750
1242870	746
1242866	740
1249176	738
1258871	734
1258840	734
1259854	732
1260383	729
1258389	727
1260671	724
1254755	721
1243233	719
1254036	717
1253177	716
1246851	716
1252759	716
1212456	716
1259212	711
1259644	711
1254102	710
1241561	706
1259937	705
1214104	705
1258843	705
1255854	701
1240089	700
1254747	700
1259361	698
1259364	692
1257811	691
1260154	690
1259357	688
1243041	686
1243065	686
1241332	684
1254037	683
1252714	682
1255871	681
1256488	681
1259425	680
1260339	679
1259607	678
1246618	676
1255632	676
1233977	674
1240592	672
1225277	671
1254012	670
1246793	667
1249286	665
1246870	665
1258388	663
1256057	662
1258936	657
1246900	654
1254997	654
1240469	652
1255497	647
1257092	646
1247208	645
1258186	643
1259296	642
1259209	635
1249593	633
1247647	633
1260982	632
1254133	629
1244497	629
1256839	628
1249896	625
1254048	624
1240495	623
1261585	622
1260088	621
1256729	618
1249400	616
1257089	615
1259397	614
